epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,4.433816909790039,0.7657585470085471,0.9574,213.356021,285.70514,19.224771,38.76916,929.137,106.755,48.120169447886234,64.43773972018376,4.3359415580627525,8.743969538840496,209.5569165132709,24.07744888253749
2,4.433644533157349,0.9626736111111112,0.9749,214.941039,285.951783,19.965032,38.761249,924.96,106.798,48.4795380848751,64.49587486355475,4.503074581349494,8.74252518669935,208.62294960333787,24.088083562248396
3,4.4364173412323,0.9700353899572649,0.9707,218.505178,286.906736,20.975274,38.821807,926.14,106.894,49.25262011966304,64.67081744845632,4.727975838759506,8.750711218980246,208.75853842523006,24.094667335852616
4,4.440021753311157,0.9739583333333334,0.9713,214.411988,286.84796,19.509551,38.881294,925.277,106.962,48.290751692849646,64.60507987062955,4.394021489973715,8.757005294175457,208.39469971289498,24.090422512059277
5,4.43937087059021,0.9759448450854701,0.972,213.330203,286.112121,19.278703,38.878325,922.617,106.819,48.05415209016722,64.44879901686647,4.342665562752795,8.757620422650374,207.82606970553442,24.06174278153934
6,4.4853291511535645,0.9775140224358975,0.9849,215.395079,289.134819,19.353858,39.300146,925.31,108.109,48.02213432755618,64.46234139263527,4.314924802123486,8.761931326688153,206.29701161664426,24.10280190299877
7,4.438870906829834,0.9798177083333334,0.9827,215.855099,288.148982,19.908957,38.937566,924.191,106.901,48.62837949801069,64.91492725247807,4.485139896582088,8.771952781976385,208.2040724766293,24.082926096255157
8,4.435790300369263,0.9809027777777778,0.9868,214.179322,286.144775,19.574483,38.893503,922.81,107.032,48.284365918328106,64.50818357580599,4.4128513014626725,8.768111287127859,208.03733664397515,24.129183922668748
9,4.441528797149658,0.9815872061965812,0.9838,214.360169,286.848387,19.720828,38.891162,924.515,106.87,48.262699351981055,64.58325502337942,4.440099096656944,8.75625573450257,208.15242728884377,24.061534863532486
10,4.437514066696167,0.9812366452991453,0.9872,223.083474,288.42132,22.853855,38.970018,924.252,107.118,50.27217280825227,64.99614776764784,5.150148181280072,8.781948048902546,208.28148060117073,24.13919108537088
11,4.5118467807769775,0.9826221955128205,0.9884,234.993356,293.69572,28.149643,39.651572,925.61,108.774,52.083629479885,65.09434700914714,6.239051184081299,8.788324144547229,205.1510268353134,24.108531447352966
12,4.441885709762573,0.9824552617521367,0.9874,213.832217,286.872434,19.40141,38.947833,921.744,106.989,48.13996373883058,64.58347934740848,4.367831877654735,8.768310475525908,207.51186775790973,24.086391904423575
13,4.4354071617126465,0.9830729166666666,0.9901,213.196292,286.681334,19.246176,38.838377,920.334,106.974,48.0669043961408,64.63472766935416,4.339212906119866,8.75644007054435,207.4970721841534,24.11819165632002
14,4.435142993927002,0.9841579861111112,0.9897,219.655322,288.729852,21.345749,38.90002,920.593,106.975,49.5260969715682,65.10046066053675,4.812866017900331,8.770860387875976,207.56782842414754,24.11985366570589
15,4.433701276779175,0.9844250801282052,0.9881,213.973817,286.129334,19.713591,38.794527,922.585,107.02,48.260765361134,64.53509520331424,4.446305641574656,8.749918990523863,208.08460976653893,24.137846309245212
16,4.488357067108154,0.9853098290598291,0.9869,216.436031,290.249928,19.909661,39.416487,924.541,108.231,48.22166056842924,64.66729889362566,4.435846057325333,8.781941011078251,205.98650824268785,24.11372321358852
17,4.434729099273682,0.9859608707264957,0.9906,215.939632,288.449762,20.015812,38.939464,922.586,107.094,48.69285748150129,65.04337819580506,4.513423830844185,8.780573317630042,208.03660817773533,24.14893843629362
18,4.434335231781006,0.9859942574786325,0.9921,213.306583,287.260373,19.279836,38.853463,921.003,107.123,48.10339585316547,64.78093287607054,4.347852607493649,8.761958888794904,207.69809945787264,24.157623274002027
19,4.4397876262664795,0.9866953792735043,0.993,214.176942,288.005549,19.576595,38.959583,921.198,107.175,48.240357429012064,64.86921745898701,4.409353925890914,8.775100585782303,207.486951526701,24.139668160237193
20,4.439073085784912,0.9881477029914529,0.9903,219.722094,289.534049,21.823874,38.945921,919.413,107.172,49.49729138355671,65.22398784718474,4.916313288439838,8.773435410359689,207.1182389278978,24.142878012798015
21,4.519535541534424,0.9891159188034188,0.9911,217.676261,294.215678,20.436164,39.750624,924.307,109.218,48.16341391710727,65.09865345590602,4.521739858485931,8.79528961210565,204.51371418714174,24.165757520056914
22,4.437654256820679,0.9905849358974359,0.9924,211.682015,288.626397,19.103258,38.911847,920.044,107.161,47.70133109731218,65.04030740033002,4.304809905061503,8.768562115940524,207.3266520450284,24.14811830716497
23,4.4341981410980225,0.9912693643162394,0.9931,212.323065,288.647515,19.462993,38.858558,918.714,107.227,47.883080151989624,65.09576383713953,4.389292580231983,8.763378803450948,207.18830570176158,24.18182421894386
24,4.436040878295898,0.9923210470085471,0.9935,216.81225,290.963123,21.283753,38.966055,919.431,107.324,48.87516953705085,65.59072176804945,4.797916336644792,8.78397112854577,207.2638700194302,24.193645402390526
