epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,4.433986186981201,0.7747228899572649,0.9415,447.313003,426.511237,35.031829,38.547693,923.446,106.409,100.88281382413257,96.19137701698219,7.900752849176282,8.693688111429255,208.2654210135714,23.998496051348017
2,4.4321489334106445,0.9629073183760684,0.9575,447.493056,425.769174,35.042569,38.529286,923.412,106.483,100.9652569720042,96.06382375611201,7.906451142884746,8.693138831494725,208.344081815277,24.02514030999829
3,4.516061782836914,0.9721721420940171,0.9716,456.376395,436.916728,35.707721,39.483455,924.312,108.518,101.05627800187268,96.747287572655,7.906827390117991,8.742895225670972,204.67213347541113,24.029343533876727
4,4.430907487869263,0.9742922008547008,0.9623,447.61891,431.631402,34.983879,38.493025,920.353,106.606,101.02194894058853,97.41376979359214,7.8954207678172645,8.687390812239808,207.71207760931605,24.059631191095967
5,4.431783676147461,0.9758947649572649,0.9822,447.900953,427.670475,34.983557,38.536585,920.137,106.528,101.0656173067904,96.50075596013137,7.893787142248586,8.69550226636959,207.622272935459,24.03727433117957
6,4.429497957229614,0.9766459668803419,0.9862,447.87129,426.641364,34.991482,38.544356,919.434,106.57,101.11107270497911,96.31822118884972,7.899649652820943,8.701743712758633,207.57070188944186,24.05915998359623
7,4.429529428482056,0.9795506143162394,0.9826,448.194654,426.350898,35.053631,38.527542,920.391,106.707,101.18335620892144,96.25196194849643,7.913624136822237,8.697885999417077,207.7852771632689,24.08991783954964
8,4.498492956161499,0.9814870459401709,0.983,455.198358,433.08843,35.647685,39.125069,921.488,108.13,101.18907875058993,96.27411540276108,7.924361635639344,8.697372515924728,204.843712990115,24.036938826790074
9,4.433355093002319,0.9815204326923077,0.9894,449.1291,426.460823,35.0717,38.551731,918.557,106.734,101.30681855575087,96.19369846397659,7.910870946330861,8.69583649206234,207.1922913302987,24.075220179964987
10,4.433745384216309,0.9823384081196581,0.9859,450.181892,426.412604,35.070553,38.73019,919.151,106.735,101.53535058702347,96.17435532450428,7.909915874927701,8.735321188689728,207.30802523574894,24.073326443139013
11,4.4331982135772705,0.9831396901709402,0.9867,446.284441,426.470893,34.942048,38.599162,920.131,106.755,100.66873157920018,96.19937400810888,7.881905188219475,8.706843263128825,207.55467174510133,24.08080912625299
12,4.426408767700195,0.9834234775641025,0.9886,447.717481,428.783326,34.820199,38.680894,918.59,106.587,101.1468900628936,96.86934680069788,7.866467113043276,8.738662882257307,207.52489166906895,24.07979145029997
13,4.514024496078491,0.9837406517094017,0.9913,459.723433,444.604026,35.645298,39.596216,922.804,108.74,101.84336248050485,98.4939329386105,7.89656724968295,8.771821250504683,204.43043691979867,24.08936860986613
14,4.4281837940216064,0.9837239583333334,0.9881,449.748604,439.363804,35.017431,38.478261,918.728,106.644,101.56502641267865,99.21986630120806,7.907854016194238,8.689400167163038,207.47286985701777,24.083011220983582
15,4.427003383636475,0.9852096688034188,0.9907,449.059459,439.183019,34.961632,38.356549,918.789,106.72,101.43643907295345,99.2054852777731,7.897358318999399,8.664224007999914,207.54196922372327,24.106600052412194
16,4.433565378189087,0.9850594284188035,0.9889,450.077522,440.091708,35.067478,38.536248,918.197,106.746,101.5159321240993,99.2636107646072,7.909543450631035,8.691931822992613,207.10126538723614,24.07678491110939
17,4.42839503288269,0.9860944177350427,0.9883,448.959239,440.212008,35.012275,38.526624,918.36,106.721,101.38193084995565,99.4066709792693,7.90631249922809,8.699906786527322,207.37987310996238,24.099250226673956
18,4.429764747619629,0.9866619925213675,0.9907,449.294015,439.917819,35.022281,38.505402,917.929,106.736,101.42615705302,99.30952185133387,7.9061266219203885,8.692425939930827,207.2184534163483,24.095184751595554
19,4.507267713546753,0.9873631143162394,0.988,457.282704,447.699171,35.628575,39.269608,920.78,108.752,101.45452479461574,99.32828477315076,7.90469465412872,8.712508440972742,204.28784321653737,24.12814301514463
20,4.435207366943359,0.9877804487179487,0.9894,450.521369,435.604232,35.144559,38.577848,917.605,106.653,101.57842277180576,98.21507676206089,7.923994549147948,8.69809341667534,206.8911155855136,24.046902698374335
21,4.427544355392456,0.9891493055555556,0.992,449.615182,434.113512,34.96844,38.513206,916.728,106.654,101.54956018733013,98.04837109565678,7.8979310410319785,8.698547752117596,207.05111601727623,24.08874794672638
22,4.429552793502808,0.9902176816239316,0.9908,449.243296,436.225934,35.030865,38.496713,916.069,106.788,101.41956015490827,98.48080705570295,7.9084428232535515,8.690880274971848,206.8084618708404,24.108077040335722
23,4.436800718307495,0.9915197649572649,0.9932,451.063359,435.965986,35.096028,38.55502,917.981,106.655,101.66410159888069,98.26134047469857,7.910210583762272,8.689824593859056,206.90156224780407,24.03871770934207
24,4.524859666824341,0.9926716079059829,0.9934,459.684004,441.207611,35.780778,39.538826,920.63,109.167,101.59077581352213,97.50746840501475,7.9075994913919265,8.738133093915227,203.46045353625763,24.126052085194527
