epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,86.49332928657532,0.4158746778350515,0.5118,10557.580578,10322.596255,1039.61996,1167.444544,3042.185,2101.303,122.06236787371125,119.34557659121323,12.019654793902818,13.497509618712293,35.172481220146295,24.294393768076915
2,86.6139223575592,0.6658142719072165,0.6852,10577.281882,10337.735315,1044.558219,1165.914866,3049.063,2107.921,122.11988089322305,119.35419888183573,12.059934368147646,13.461056078108038,35.202920235073435,24.33697658094838
3,86.23813581466675,0.7430130476804123,0.7459,10539.449764,10305.766769,1038.856842,1162.834456,3039.516,2102.854,122.21333015187382,119.50358935341539,12.046374056978616,13.483993421414308,35.245613454959,24.384270139132134
4,85.04306983947754,0.7816929768041238,0.7432,10365.953444,10155.82184,1008.331644,1148.934558,2997.956,2069.508,121.89063098928796,119.41974647869077,11.856717377480251,13.510031565989603,35.25220815357173,24.334822389482003
5,85.72863030433655,0.8047076353092784,0.7458,10436.697525,10204.687377,1020.648052,1152.990451,3014.054,2068.768,121.74109732011038,119.03476517440406,11.905568167561997,13.449304472810134,35.158079503896325,24.13158815970669
6,85.38397550582886,0.8265544458762887,0.8035,10405.301976,10153.931281,1023.584933,1144.929738,2988.863,2053.036,121.86481028035135,118.92080710515555,11.9880214868904,13.409187511090296,35.004964131659115,24.044745958916454
7,86.21770811080933,0.8478576030927835,0.8005,10493.989126,10242.592981,1035.899321,1154.087905,3016.792,2077.558,121.71500908505759,118.7991794891595,12.01492528273466,13.385740937543076,34.990398911123194,24.09665074058645
8,86.93995475769043,0.8594756765463918,0.785,10538.289001,10319.468028,1043.167234,1157.348135,3048.037,2104.342,121.21341712646584,118.69649641251017,11.998709188512946,13.312039766130942,35.059104970725556,24.204544456745957
9,84.82785153388977,0.8699661726804123,0.8436,10342.074476,10093.952797,1030.003467,1130.034576,2978.465,2058.449,121.91838280695124,118.99338029287871,12.14227931481326,13.321504147120091,35.111875948078996,24.26619279845399
10,85.0834333896637,0.876208118556701,0.8519,10375.427785,10108.501221,1031.122294,1132.064288,2991.909,2068.022,121.94415965188884,118.80692654591469,12.118954923665143,13.30534327188456,35.16441310375552,24.305812748868597
11,84.37302422523499,0.8820473582474226,0.8513,10312.218901,10036.145817,1032.018308,1120.793958,2970.964,2054.956,122.22175269516694,118.94969878297081,12.231614517514656,13.283795007845454,35.21224973599345,24.355604399271808
12,83.6867618560791,0.8897390463917526,0.857,10231.43389,9976.248386,1022.093183,1113.247094,2950.61,2041.926,122.25869018083864,119.20939662065935,12.213319769233657,13.302547133016265,35.257786710332184,24.399629699039096
13,84.97624182701111,0.8953567976804123,0.8042,10362.862692,10096.586091,1033.008218,1125.385043,2997.84,2070.158,121.95011769402578,118.81657595018083,12.156435678844545,13.243525705584661,35.27856652101419,24.361609262672356
14,88.74261212348938,0.9027263208762888,0.8372,10683.619684,10456.139248,1063.197734,1154.173692,3122.117,2143.739,120.38883495037601,117.82546172350445,11.980690094185103,13.005856649722174,35.1817117537112,24.156816536084037
15,84.68463397026062,0.9089682667525774,0.8559,10318.671155,10028.439049,1027.178781,1122.439166,2967.142,2037.126,121.84821107715587,118.42100011345349,12.129458826742082,13.254342770072972,35.03754885499056,24.055438448436746
16,84.96495461463928,0.9125926224226804,0.8891,10347.417785,10045.331889,1031.300937,1126.506916,2974.473,2048.212,121.78453848331911,118.229120871786,12.13795666316179,13.258488998308783,35.00823384759985,24.1065508631143
17,84.691251039505,0.9224387886597938,0.8903,10306.736005,10028.299767,1027.500967,1117.648629,2970.269,2050.678,121.69776545386405,118.41010309697998,12.132315373647188,13.196742464917216,35.07173366248293,24.21357548542343
18,85.71055936813354,0.9318822487113402,0.9013,10412.796829,10151.706555,1038.767521,1137.663263,3011.846,2079.906,121.48791124179024,118.44172561513254,12.119481294462359,13.273315112944806,35.13973099934964,24.266624968186722
19,84.38748478889465,0.9379228414948454,0.9045,10264.546904,10010.244149,1025.022551,1114.706592,2968.576,2051.067,121.6358910290784,118.62237835434743,12.146618110069474,13.2093828224478,35.177917761457714,24.305345812012153
20,84.89888453483582,0.944507087628866,0.911,10348.78796,10072.518343,1036.064026,1127.32952,2989.149,2067.122,121.8954526517209,118.64135080440346,12.203505754835694,13.2784962508834,35.20834244616593,24.348046636016942
21,85.10406684875488,0.9532256765463918,0.9173,10368.720954,10099.985313,1037.955106,1130.435084,3000.769,2075.979,121.83578691282837,118.67805719495728,12.19630441215731,13.282973726848857,35.25999533409963,24.393417105311606
22,85.58055830001831,0.9634946842783504,0.9234,10389.093155,10148.465842,1034.140602,1133.629693,3019.827,2084.879,121.39548235452185,118.58377701186168,12.083826309880228,13.246346080448012,35.286367137422076,24.36159615471396
23,84.15612363815308,0.9711863724226804,0.9382,10267.284934,9964.264103,1029.06094,1107.708525,2962.119,2032.844,122.00282629635304,118.40212776248399,12.227998338239338,13.162542155135679,35.19790208893476,24.15562780363601
24,83.8228874206543,0.9770658827319588,0.9406,10239.458589,9928.036535,1032.35959,1098.599364,2936.39,2016.813,122.15588014302828,118.44064121983098,12.315963118989652,13.10619805408064,35.03088583985549,24.060409538016575
