epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,10.80713152885437,0.42956,0.5181000828742981,524.493103,685.282914,50.28342,97.688588,786.25,258.127,48.532129140802624,63.410250182514865,4.652799854035864,9.039270757386225,72.75288524996307,23.8848763254909
2,8.041821956634521,0.63474,0.6105999946594238,389.328838,502.99859,37.191913,69.545079,740.339,192.401,48.413013879125096,62.547839620476175,4.624811790233255,8.647925728152332,92.06110306747324,23.925050944614455
3,8.06099534034729,0.72582,0.6956000328063965,389.267192,506.037706,36.215528,69.38374,747.667,192.9,48.29021424334793,62.776082187661764,4.492686879340106,8.60734153420448,92.75120111504599,23.93004732734275
4,7.9609293937683105,0.76374,0.7174000144004822,379.701969,498.106452,33.843524,68.562835,736.014,190.732,47.69568353378749,62.568882018965,4.251202633010686,8.612415913859243,92.45327569116994,23.958509184782116
5,8.04622507095337,0.79908,0.7744000554084778,407.46966,520.709727,41.557401,69.675052,741.842,192.579,50.64109646534164,64.71478518289857,5.164832034095214,8.659346635918107,92.19752038481093,23.934080677808083
6,7.853445768356323,0.81968,0.7985000014305115,380.622561,492.994892,36.903018,67.659477,732.841,188.169,48.46567637019055,62.77434218574616,4.698958786815888,8.615259975769934,93.31458083696413,23.960055948712892
7,8.059509038925171,0.83478,0.8131999969482422,392.317783,507.608198,37.238273,69.561067,740.26,193.113,48.67762801744065,62.9825210876239,4.620414571179159,8.630931073349446,91.84926729714572,23.960888816839624
8,7.957309007644653,0.848,0.8521000742912292,384.699149,500.348695,36.553704,68.616033,741.634,190.826,48.34538267024899,62.879133450681735,4.593726844701211,8.623019783959629,93.20160864527267,23.98122277476869
9,8.067497968673706,0.85256,0.8583000302314758,395.665003,508.2476,39.245632,69.512597,740.914,193.592,49.04432632476351,62.999408487431666,4.864659669254552,8.616376139159765,91.83937856284406,23.99653532628363
10,8.111737489700317,0.86108,0.8616001009941101,387.560897,508.231426,34.760927,70.060551,750.174,194.778,47.77779082374104,62.65383053203023,4.285262811344284,8.636935192855747,92.48006372895021,24.011871716425077
11,8.03240966796875,0.86804,0.8570000529289246,392.517123,505.905748,38.386751,69.264462,744.401,192.87,48.86667130104937,62.983060988214554,4.778983217586225,8.623123678092444,92.67468054679604,24.01147451045949
12,8.170192956924438,0.87298,0.8360000848770142,396.492576,514.482143,37.32637,70.621694,755.675,196.229,48.52915691103266,62.970623302594554,4.568603238233803,8.643822045860789,92.49169560426928,24.017670211043317
13,9.04896330833435,0.8807,0.8454000353813171,439.023229,570.409794,41.102272,79.706513,769.958,217.628,48.51641166404634,63.03592738348674,4.542207830828936,8.808358514017629,85.08797900537921,24.050047788298407
14,8.045530796051025,0.88726,0.8791000247001648,393.619049,508.111615,38.349664,69.451626,752.539,193.398,48.923937895210024,63.154517443323385,4.766579728813306,8.632323678891247,93.53503442797926,24.03794167252771
15,8.010490655899048,0.89392,0.8760000467300415,386.960679,504.86858,36.270318,69.083998,741.151,192.886,48.30673870333227,63.02592458905212,4.527852232533345,8.624190573036307,92.52254722427084,24.0791742086305
16,8.032357454299927,0.89896,0.8871999979019165,392.641756,509.036966,37.990588,69.370154,748.494,193.212,48.88250532100122,63.37329593412199,4.729693395263761,8.63633801093655,93.18484694668463,24.05420838144705
17,8.139061212539673,0.90666,0.884600043296814,389.587992,513.62808,35.252547,70.396632,759.411,196.007,47.866453123582644,63.10655081554915,4.331279256837038,8.649232406747531,93.30449546564316,24.08226144042464
18,8.07369065284729,0.91376,0.8987000584602356,395.39242,511.934358,38.392611,69.809478,755.085,194.484,48.972946450525676,63.40772516710927,4.755273969589156,8.64653861556868,93.52414310470388,24.08861180870396
19,8.038910150527954,0.9208,0.9162000417709351,383.440364,507.603925,34.479912,69.497526,757.163,193.866,47.6980531962803,63.14337584263996,4.289127674568615,8.645142774165196,94.18726989382677,24.11595556734365
20,8.082470893859863,0.92802,0.9162999987602234,411.45195,515.00979,46.668656,69.83656,756.781,194.875,50.906703581521604,63.71934978339922,5.7740580340912215,8.640496318156101,93.63238172313315,24.110819891481913
21,7.9205522537231445,0.9339,0.9187999963760376,378.757453,501.58325,34.15237,68.430764,748.372,191.117,47.819576320825455,63.32680271937164,4.311867267076774,8.639645545906644,94.48482580848062,24.129251834701716
22,8.098836183547974,0.944,0.9255000948905945,388.267561,513.894802,35.313119,70.13748,758.478,195.441,47.94115502530217,63.45291969776215,4.360270809247296,8.660192453636451,93.6527153791278,24.131985827422966
23,8.074153661727905,0.9517,0.927600085735321,386.466662,511.836581,35.061097,69.790415,760.058,195.025,47.86466522576614,63.39197920224677,4.342386641239221,8.643681793029504,94.13469594995844,24.154234384271525
24,8.036184072494507,0.96112,0.9342001080513,385.531361,508.575785,35.421443,69.417874,749.632,194.126,47.97443133732593,63.285731189347096,4.407744108455302,8.638163757049437,93.28208428746296,24.15648997693273
25,8.10306429862976,0.96918,0.938800036907196,388.795086,513.308256,35.679677,70.181835,756.25,195.617,47.98124162309138,63.34742476211144,4.403232614855775,8.661147488594883,93.32889042086003,24.141114125563472
