epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,16.582162380218506,0.43106,0.5119000673294067,1668.434266,1616.578442,131.952004,139.179602,957.115,400.626,100.61620600159716,97.48900082708623,7.957466642433231,8.393332474299772,57.71955297831234,24.160057706220634
2,16.55571174621582,0.6284,0.694599986076355,1671.310236,1616.843517,132.01758,138.238576,1079.058,399.746,100.95067259080635,97.66076758189305,7.974141010891639,8.349902324893856,65.17738509470261,24.145503746848632
3,16.16840958595276,0.70468,0.7541000247001648,1636.032433,1582.593727,128.829841,134.508435,945.76,390.14,101.1869735426172,97.88184289783021,7.967997119019571,8.319212491800181,58.49431231762484,24.129769717051
4,16.023914337158203,0.73108,0.760200023651123,1616.113599,1559.377478,127.685752,133.445651,1088.017,386.104,100.85635538205288,97.31563993598779,7.968449488269338,8.327905915631986,67.89957666442174,24.0954857768214
5,15.763814449310303,0.75912,0.7937999963760376,1587.017056,1559.337011,125.568461,131.285536,1034.121,379.602,100.67468512162264,98.91876208097743,7.965613995506898,8.32828478298563,65.6009370907842,24.080593007526062
6,15.703885316848755,0.77722,0.8029000163078308,1582.671302,1539.170193,125.212492,130.48068,1073.768,377.717,100.7821484981138,98.01206274402799,7.973344778929267,8.308815135067677,68.37594508207154,24.052455324208594
7,15.691520690917969,0.78348,0.7940000295639038,1580.740216,1548.4585,124.941667,130.507746,1072.27,377.181,100.73849737934643,98.68122602650143,7.962368304578311,8.317087207203317,68.3343584806675,24.037249634976874
8,15.846676349639893,0.79234,0.8178000450134277,1603.742049,1536.894442,125.972917,131.629357,1033.903,380.724,101.20368546786432,96.98528625751388,7.949485066807884,8.306433102799579,65.24415449574667,24.02547964000361
9,16.193007469177246,0.79518,0.8338000178337097,1629.816018,1584.295565,128.744528,134.307348,1092.892,389.187,100.6493711005995,97.83825320995153,7.950624875895361,8.29415710797693,67.49160105559619,24.034262983006844
10,15.721113204956055,0.79384,0.8384000658988953,1583.254492,1548.94562,125.202378,130.519281,1070.188,377.542,100.70880295556181,98.52645927844966,7.96396389795922,8.302165330051437,68.07329646749348,24.014966057300605
11,16.575253009796143,0.7987,0.8278000950813293,1671.637994,1616.031935,131.820271,137.634394,1028.008,398.556,100.8514315294038,97.49666771571503,7.952836129988054,8.3036074272083,62.02065207646827,24.04524382007619
12,15.715887308120728,0.79914,0.8537999987602234,1582.054482,1552.040399,125.099456,130.576274,1072.986,377.883,100.66593447654205,98.75614202183979,7.960063186210205,8.308552450139326,68.27396881661055,24.044649378768447
13,16.027919054031372,0.8008,0.8374999761581421,1626.492663,1552.315667,127.774477,133.440205,1083.614,385.903,101.47871707593266,96.8507303890806,7.971994154029741,8.32548533282222,67.60790320609009,24.07692468991706
14,15.874565601348877,0.8037,0.8503000140190125,1600.913199,1562.774625,126.573702,131.986108,978.79,382.421,100.84768548652248,98.44518988709899,7.973364763395158,8.314313053629954,61.657750175968985,24.09017100710493
15,15.710096836090088,0.80584,0.8611000180244446,1594.174446,1530.343677,125.485704,130.582608,1072.358,378.752,101.47451429693137,97.4114732052072,7.987583100807337,8.31201802015749,68.25915913748672,24.10882656877775
16,15.763702392578125,0.80574,0.8654001355171204,1608.385836,1544.736769,125.931041,131.001492,1075.649,380.212,102.03096937159007,97.99327153799186,7.988671561021788,8.310325121443437,68.23580991394748,24.119460678159694
17,15.863247632980347,0.81062,0.8583999872207642,1608.428317,1578.853196,126.734766,131.862407,983.127,382.962,101.39338136889518,99.5290014081038,7.98920680885755,8.312447113657395,61.975140447031684,24.141462634915072
18,15.719461917877197,0.81446,0.8723000288009644,1598.361997,1554.801013,125.731162,131.035657,1075.041,379.677,101.68045225404558,98.90930243813109,7.998439301348498,8.33588692059349,68.38917296382729,24.153307663044533
19,15.847747802734375,0.81722,0.8787000775337219,1605.342631,1570.095468,126.764447,131.731164,1081.309,383.291,101.29784061322668,99.07372880637936,7.998893507008487,8.312295579140342,68.23108327187227,24.185834149497687
20,15.881413698196411,0.82222,0.8876001238822937,1607.108313,1584.255771,126.922619,131.90029,959.165,384.119,101.19428556807338,99.75533671664996,7.991896780222663,8.305324230359883,60.395442007088356,24.186700711890836
21,15.63522720336914,0.83068,0.8937000036239624,1593.11024,1537.001131,125.180714,129.957572,1072.001,378.488,101.89236262948006,98.30372856166753,8.006325227754001,8.311844165078472,68.56318658221998,24.20738727214926
22,15.68325400352478,0.83888,0.8998001217842102,1607.644749,1491.226468,125.654187,130.929077,1074.368,379.719,102.50709123493664,95.08399645028065,8.011997189598501,8.348336191620307,68.50415097265771,24.21174839830171
23,15.907560110092163,0.84916,0.9031000137329102,1616.956432,1561.743744,127.267374,132.662368,962.844,384.978,101.64704208624435,98.17619629858824,8.000433323477328,8.339579865289057,60.52744690803634,24.200945797826037
24,15.729938507080078,0.8563,0.9097999334335327,1598.932247,1534.047586,125.704922,131.084433,1078.015,380.779,101.64898268866831,97.52406758039912,7.991443955322517,8.333435819917453,68.53269003656838,24.207278358310845
25,15.758005857467651,0.87306,0.9153000116348267,1601.865223,1546.759468,125.922779,131.401679,1061.827,381.472,101.6540568323804,98.15705629192905,7.991035168978931,8.338725101928384,67.38333578527036,24.208139243660835
