epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power
1,159.87965631484985,0.409008537371134,0.3924,19920.076262,19901.025163,2044.504927,2152.106033,124.59418991226461,124.47503091831179,12.787774092870022,13.460787210862357
2,154.6132378578186,0.6542566043814433,0.6907,19264.324768,19251.518282,1963.916002,2056.793489,124.59686528080704,124.51403611185984,12.702120654157733,13.302829159372594
3,153.98565459251404,0.7432144007731959,0.7455,19186.852432,19172.447806,1948.980509,2043.976495,124.60155774103364,124.50801249463963,12.656896606099494,13.273811124866741
4,156.2348279953003,0.7825789304123711,0.6893,19467.498259,19451.42225,1982.847381,2085.608668,124.60408801797767,124.50119156904707,12.691455589272618,13.349191692794241
5,155.96190190315247,0.8056942654639175,0.7872,19432.917964,19414.181501,1985.548733,2057.021658,124.6004166842441,124.48028181302641,12.730985636690713,13.189257330789331
6,157.43089175224304,0.8316486791237113,0.8063,19616.288893,19598.44995,1994.770043,2097.735692,124.60253940421774,124.48922655436057,12.670766333073122,13.324803465518782
7,156.18127584457397,0.8562338917525774,0.8483,19459.801929,19444.737208,1982.132733,2080.659148,124.59753465175748,124.5010780123906,12.691231533878284,13.322078058003559
8,157.5753312110901,0.8773155605670103,0.846,19633.732147,19616.584059,2010.227189,2101.045236,124.59902191605347,124.49019721698286,12.757245525361276,13.333592383095871
9,159.06667709350586,0.8983166881443299,0.8978,19820.375712,19803.054834,2018.559707,2137.728821,124.60419790091409,124.49530722490015,12.690022472861545,13.43919958636815
10,160.05109071731567,0.921129993556701,0.916,19941.777684,19921.24783,2024.658012,2151.05174,124.59632480244342,124.46805417393355,12.650073191790849,13.439781824412654
